fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,quality,color,fixed_acidity^2,fixed_acidity volatile_acidity,fixed_acidity citric_acid,fixed_acidity residual_sugar,fixed_acidity chlorides,fixed_acidity free_sulfur_dioxide,fixed_acidity total_sulfur_dioxide,fixed_acidity density,fixed_acidity pH,fixed_acidity sulphates,fixed_acidity alcohol,fixed_acidity quality,volatile_acidity^2
6.6,0.23,0.32,0.9,0.041,25,79,0.9926,3.39,0.54,10.2,7,white,43.56,1.518,2.112,5.94,0.2706,165,521.4,6.55116,22.374,3.564,67.32,46.2,0.0529
10,0.29,0.4,2.9,0.098,10,26,1.0006,3.48,0.91,9.7,5,red,100,2.9,4,29,0.98,100,260,10.006,34.8,9.1,97,50,0.0841
9.3,0.655,0.26,2,0.096,5,35,0.99738,3.25,0.42,9.6,5,red,86.49,6.0915,2.418,18.6,0.8928,46.5,325.5,9.275634,30.225,3.906,89.28,46.5,0.429025
7,0.26,0.26,10.8,0.039,37,184,0.99787,3.47,0.58,10.3,7,white,49,1.82,1.82,75.6,0.273,259,1288,6.98509,24.29,4.06,72.1,49,0.0676
5.8,0.22,0.29,1.3,0.036,25,68,0.98865,3.24,0.35,12.6,6,white,33.64,1.276,1.682,7.54,0.2088,145,394.4,5.73417,18.792,2.03,73.08,34.8,0.0484
6.6,0.34,0.27,6.2,0.059,23,136,0.9957,3.3,0.49,10.1,6,white,43.56,2.244,1.782,40.92,0.3894,151.8,897.6,6.57162,21.78,3.234,66.66,39.6,0.1156
7.1,0.36,0.37,4.8,0.019,39,114,0.99036,3.08,0.49,12.7,7,white,50.41,2.556,2.627,34.08,0.1349,276.9,809.4,7.031556,21.868,3.479,90.17,49.7,0.1296
6.5,0.32,0.23,8.5,0.051,20,138,0.9943,3.03,0.42,10.7,5,white,42.25,2.08,1.495,55.25,0.3315,130,897,6.46295,19.695,2.73,69.55,32.5,0.1024
7.1,0.18,0.39,15.25,0.047,45,158,0.99946,3.34,0.77,9.1,6,white,50.41,1.278,2.769,108.275,0.3337,319.5,1121.8,7.096166,23.714,5.467,64.61,42.6,0.0324
5.3,0.275,0.24,7.4,0.038,28,114,0.99313,3.38,0.51,11,6,white,28.09,1.4575,1.272,39.22,0.2014,148.4,604.2,5.263589,17.914,2.703,58.3,31.8,0.075625
7.2,0.23,0.82,1.3,0.149,70,109,0.99304,2.93,0.42,9.2,6,white,51.84,1.656,5.904,9.36,1.0728,504,784.8,7.149888,21.096,3.024,66.24,43.2,0.0529
9.8,0.98,0.32,2.3,0.078,35,152,0.998,3.25,0.48,9.4,5,red,96.04,9.604,3.136,22.54,0.7644,343,1489.6,9.7804,31.85,4.704,92.12,49,0.9604
10,0.49,0.2,11,0.071,13,50,1.0015,3.16,0.69,9.2,6,red,100,4.9,2,110,0.71,130,500,10.015,31.6,6.9,92,60,0.2401
5.9,0.435,0.16,6.4,0.031,21,134,0.99151,3.24,0.46,12.2,6,white,34.81,2.5665,0.944,37.76,0.1829,123.9,790.6,5.849909,19.116,2.714,71.98,35.4,0.189225
7.7,0.715,0.01,2.1,0.064,31,43,0.99371,3.41,0.57,11.8,6,red,59.29,5.5055,0.077,16.17,0.4928,238.7,331.1,7.651567,26.257,4.389,90.86,46.2,0.511225
6.3,0.24,0.22,11.9,0.05,65,179,0.99659,3.06,0.58,9.3,6,white,39.69,1.512,1.386,74.97,0.315,409.5,1127.7,6.278517,19.278,3.654,58.59,37.8,0.0576
6.9,0.27,0.49,23.5,0.057,59,235,1.0024,2.98,0.47,8.6,5,white,47.61,1.863,3.381,162.15,0.3933,407.1,1621.5,6.91656,20.562,3.243,59.34,34.5,0.0729
6.8,0.17,0.36,1.4,0.036,38,108,0.99006,3.19,0.66,12,6,white,46.24,1.156,2.448,9.52,0.2448,258.4,734.4,6.732408,21.692,4.488,81.6,40.8,0.0289
10,0.32,0.59,2.2,0.077,3,15,0.9994,3.2,0.78,9.6,5,red,100,3.2,5.9,22,0.77,30,150,9.994,32,7.8,96,50,0.1024
6.9,0.19,0.39,8,0.028,22,84,0.994,3.11,0.66,10.8,6,white,47.61,1.311,2.691,55.2,0.1932,151.8,579.6,6.8586,21.459,4.554,74.52,41.4,0.0361
6.7,0.36,0.28,8.3,0.034,29,81,0.99151,2.96,0.39,12.5,6,white,44.89,2.412,1.876,55.61,0.2278,194.3,542.7,6.643117,19.832,2.613,83.75,40.2,0.1296
6.8,0.2,0.36,1.6,0.028,7,46,0.99175,3.21,0.6,10.9,6,white,46.24,1.36,2.448,10.88,0.1904,47.6,312.8,6.7439,21.828,4.08,74.12,40.8,0.04
6.5,0.18,0.33,8,0.051,16,131,0.9965,3.28,0.44,8.7,7,white,42.25,1.17,2.145,52,0.3315,104,851.5,6.47725,21.32,2.86,56.55,45.5,0.0324
6.7,0.47,0.34,8.9,0.043,31,172,0.9964,3.22,0.6,9.2,5,white,44.89,3.149,2.278,59.63,0.2881,207.7,1152.4,6.67588,21.574,4.02,61.64,33.5,0.2209
9.2,0.34,0.54,17.3,0.06,46,235,1.00182,3.08,0.61,8.8,6,white,84.64,3.128,4.968,159.16,0.552,423.2,2162,9.216744,28.336,5.612,80.96,55.2,0.1156
9.9,0.74,0.19,5.8,0.111,33,76,0.99878,3.14,0.55,9.4,5,red,98.01,7.326,1.881,57.42,1.0989,326.7,752.4,9.887922,31.086,5.445,93.06,49.5,0.5476
7.3,0.24,0.34,7.5,0.048,29,152,0.9962,3.1,0.54,9,5,white,53.29,1.752,2.482,54.75,0.3504,211.7,1109.6,7.27226,22.63,3.942,65.7,36.5,0.0576
7.9,0.52,0.26,1.9,0.079,42,140,0.9964,3.23,0.54,9.5,5,red,62.41,4.108,2.054,15.01,0.6241,331.8,1106,7.87156,25.517,4.266,75.05,39.5,0.2704
6.6,0.25,0.3,1.6,0.046,32,134,0.993,3.42,0.51,10.1,7,white,43.56,1.65,1.98,10.56,0.3036,211.2,884.4,6.5538,22.572,3.366,66.66,46.2,0.0625
7.1,0.34,0.32,2,0.051,29,130,0.99354,3.3,0.5,10.4,6,white,50.41,2.414,2.272,14.2,0.3621,205.9,923,7.054134,23.43,3.55,73.84,42.6,0.1156
7,0.16,0.26,7.3,0.047,30,220,0.99622,3.38,0.58,10.1,6,white,49,1.12,1.82,51.1,0.329,210,1540,6.97354,23.66,4.06,70.7,42,0.0256
7.1,0.46,0.2,1.9,0.077,28,54,0.9956,3.37,0.64,10.4,6,red,50.41,3.266,1.42,13.49,0.5467,198.8,383.4,7.06876,23.927,4.544,73.84,42.6,0.2116
7.2,0.23,0.39,2.3,0.033,29,102,0.9908,3.26,0.54,12.3,7,white,51.84,1.656,2.808,16.56,0.2376,208.8,734.4,7.13376,23.472,3.888,88.56,50.4,0.0529
7.3,0.51,0.18,2.1,0.07,12,28,0.99768,3.52,0.73,9.5,6,red,53.29,3.723,1.314,15.33,0.511,87.6,204.4,7.283064,25.696,5.329,69.35,43.8,0.2601
8.3,0.49,0.36,1.8,0.222,6,16,0.998,3.18,0.6,9.5,6,red,68.89,4.067,2.988,14.94,1.8426,49.8,132.8,8.2834,26.394,4.98,78.85,49.8,0.2401
6.9,0.2,0.36,1.5,0.031,38,147,0.9931,3.35,0.56,11,6,white,47.61,1.38,2.484,10.35,0.2139,262.2,1014.3,6.85239,23.115,3.864,75.9,41.4,0.04
8.9,0.31,0.57,2,0.111,26,85,0.9971,3.26,0.53,9.7,5,red,79.21,2.759,5.073,17.8,0.9879,231.4,756.5,8.87419,29.014,4.717,86.33,44.5,0.0961
10,0.59,0.31,2.2,0.09,26,62,0.9994,3.18,0.63,10.2,6,red,100,5.9,3.1,22,0.9,260,620,9.994,31.8,6.3,102,60,0.3481
7.8,0.58,0.02,2,0.073,9,18,0.9968,3.36,0.57,9.5,7,red,60.84,4.524,0.156,15.6,0.5694,70.2,140.4,7.77504,26.208,4.446,74.1,54.6,0.3364
5.7,0.18,0.26,2.2,0.023,21,95,0.9893,3.07,0.54,12.3,6,white,32.49,1.026,1.482,12.54,0.1311,119.7,541.5,5.63901,17.499,3.078,70.11,34.2,0.0324
7,0.24,0.3,4.2,0.04,41,213,0.9927,3.28,0.49,11.8,6,white,49,1.68,2.1,29.4,0.28,287,1491,6.9489,22.96,3.43,82.6,42,0.0576
7.1,0.84,0.02,4.4,0.096,5,13,0.997,3.41,0.57,11,4,red,50.41,5.964,0.142,31.24,0.6816,35.5,92.3,7.0787,24.211,4.047,78.1,28.4,0.7056
8.5,0.34,0.4,4.7,0.055,3,9,0.99738,3.38,0.66,11.6,7,red,72.25,2.89,3.4,39.95,0.4675,25.5,76.5,8.47773,28.73,5.61,98.6,59.5,0.1156
5.7,0.255,0.65,1.2,0.079,17,137,0.99307,3.2,0.42,9.4,5,white,32.49,1.4535,3.705,6.84,0.4503,96.9,780.9,5.660499,18.24,2.394,53.58,28.5,0.065025
6.6,0.26,0.27,1.5,0.04,19,114,0.99295,3.36,0.62,10.5,6,white,43.56,1.716,1.782,9.9,0.264,125.4,752.4,6.55347,22.176,4.092,69.3,39.6,0.0676
8.8,0.23,0.35,10.7,0.04,26,183,0.9984,2.93,0.49,9.1,6,white,77.44,2.024,3.08,94.16,0.352,228.8,1610.4,8.78592,25.784,4.312,80.08,52.8,0.0529
8.2,0.28,0.42,1.8,0.031,30,93,0.9917,3.09,0.39,11.4,5,white,67.24,2.296,3.444,14.76,0.2542,246,762.6,8.13194,25.338,3.198,93.48,41,0.0784
9.1,0.45,0.35,2.4,0.08,23,78,0.9987,3.38,0.62,9.5,5,red,82.81,4.095,3.185,21.84,0.728,209.3,709.8,9.08817,30.758,5.642,86.45,45.5,0.2025
11.3,0.62,0.67,5.2,0.086,6,19,0.9988,3.22,0.69,13.4,8,red,127.69,7.006,7.571,58.76,0.9718,67.8,214.7,11.28644,36.386,7.797,151.42,90.4,0.3844
8,0.13,0.25,1.1,0.033,15,86,0.99044,2.98,0.39,11.2,8,white,64,1.04,2,8.8,0.264,120,688,7.92352,23.84,3.12,89.6,64,0.0169
6.3,0.28,0.47,11.2,0.04,61,183,0.99592,3.12,0.51,9.5,6,white,39.69,1.764,2.961,70.56,0.252,384.3,1152.9,6.274296,19.656,3.213,59.85,37.8,0.0784
7.6,0.25,1.23,4.6,0.035,51,294,0.99018,3.03,0.43,13.1,6,white,57.76,1.9,9.348,34.96,0.266,387.6,2234.4,7.525368,23.028,3.268,99.56,45.6,0.0625
7.7,0.28,0.39,8.9,0.036,8,117,0.9935,3.06,0.38,12,7,white,59.29,2.156,3.003,68.53,0.2772,61.6,900.9,7.64995,23.562,2.926,92.4,53.9,0.0784
6.1,0.28,0.26,1.5,0.03,25,101,0.98894,3.03,0.41,12.1,6,white,37.21,1.708,1.586,9.15,0.183,152.5,616.1,6.032534,18.483,2.501,73.81,36.6,0.0784
8.1,1.33,0,1.8,0.082,3,12,0.9964,3.54,0.48,10.9,5,red,65.61,10.773,0,14.58,0.6642,24.3,97.2,8.07084,28.674,3.888,88.29,40.5,1.7689
5.6,0.32,0.33,7.4,0.037,25,95,0.99268,3.25,0.49,11.1,6,white,31.36,1.792,1.848,41.44,0.2072,140,532,5.559008,18.2,2.744,62.16,33.6,0.1024
8.8,0.64,0.17,2.9,0.084,25,130,0.99818,3.23,0.54,9.6,5,red,77.44,5.632,1.496,25.52,0.7392,220,1144,8.783984,28.424,4.752,84.48,44,0.4096
8.2,0.43,0.29,1.6,0.081,27,45,0.99603,3.25,0.54,10.3,5,red,67.24,3.526,2.378,13.12,0.6642,221.4,369,8.167446,26.65,4.428,84.46,41,0.1849
8.5,0.28,0.35,1.7,0.061,6,15,0.99524,3.3,0.74,11.8,7,red,72.25,2.38,2.975,14.45,0.5185,51,127.5,8.45954,28.05,6.29,100.3,59.5,0.0784
7.5,0.38,0.33,9.2,0.043,19,116,0.99444,3.08,0.42,11.4,6,white,56.25,2.85,2.475,69,0.3225,142.5,870,7.4583,23.1,3.15,85.5,45,0.1444
6.7,0.22,0.37,1.6,0.028,24,102,0.9913,3.29,0.59,11.6,7,white,44.89,1.474,2.479,10.72,0.1876,160.8,683.4,6.64171,22.043,3.953,77.72,46.9,0.0484
7.5,0.19,0.34,2.6,0.037,33,125,0.9923,3.1,0.49,11.1,7,white,56.25,1.425,2.55,19.5,0.2775,247.5,937.5,7.44225,23.25,3.675,83.25,52.5,0.0361
11.4,0.36,0.69,2.1,0.09,6,21,1,3.17,0.62,9.2,6,red,129.96,4.104,7.866,23.94,1.026,68.4,239.4,11.4,36.138,7.068,104.88,68.4,0.1296
6.4,0.27,0.49,7.3,0.046,53,206,0.9956,3.24,0.43,9.2,6,white,40.96,1.728,3.136,46.72,0.2944,339.2,1318.4,6.37184,20.736,2.752,58.88,38.4,0.0729
6.5,0.24,0.19,1.2,0.041,30,111,0.99254,2.99,0.46,9.4,6,white,42.25,1.56,1.235,7.8,0.2665,195,721.5,6.45151,19.435,2.99,61.1,39,0.0576
5.4,0.265,0.28,7.8,0.052,27,91,0.99432,3.19,0.38,10.4,6,white,29.16,1.431,1.512,42.12,0.2808,145.8,491.4,5.369328,17.226,2.052,56.16,32.4,0.070225
6.9,0.2,0.34,1.9,0.043,25,136,0.9935,3.31,0.6,10.1,4,white,47.61,1.38,2.346,13.11,0.2967,172.5,938.4,6.85515,22.839,4.14,69.69,27.6,0.04
6.9,0.25,0.26,5.2,0.024,36,135,0.9948,3.16,0.72,10.7,7,white,47.61,1.725,1.794,35.88,0.1656,248.4,931.5,6.86412,21.804,4.968,73.83,48.3,0.0625
6.6,0.34,0.18,6.4,0.082,47,240,0.9971,3.42,0.48,9.2,5,white,43.56,2.244,1.188,42.24,0.5412,310.2,1584,6.58086,22.572,3.168,60.72,33,0.1156
6.1,0.27,0.33,2.2,0.021,26,117,0.9886,3.12,0.3,12.5,6,white,37.21,1.647,2.013,13.42,0.1281,158.6,713.7,6.03046,19.032,1.83,76.25,36.6,0.0729
8.4,0.23,0.32,1.3,0.048,59,113,0.99178,3.1,0.55,11,6,white,70.56,1.932,2.688,10.92,0.4032,495.6,949.2,8.330952,26.04,4.62,92.4,50.4,0.0529
6.8,0.67,0.15,1.8,0.118,13,20,0.9954,3.42,0.67,11.3,6,red,46.24,4.556,1.02,12.24,0.8024,88.4,136,6.76872,23.256,4.556,76.84,40.8,0.4489
7,0.23,0.32,1.8,0.048,25,113,0.9915,3.11,0.47,11.1,6,white,49,1.61,2.24,12.6,0.336,175,791,6.9405,21.77,3.29,77.7,42,0.0529
6.5,0.22,0.45,8,0.053,52,196,0.9959,3.23,0.48,9.1,6,white,42.25,1.43,2.925,52,0.3445,338,1274,6.47335,20.995,3.12,59.15,39,0.0484
6.1,0.25,0.49,7.6,0.052,67,226,0.9956,3.16,0.47,8.9,5,white,37.21,1.525,2.989,46.36,0.3172,408.7,1378.6,6.07316,19.276,2.867,54.29,30.5,0.0625
7.8,0.3,0.74,1.8,0.033,33,156,0.991,3.29,0.52,12.8,6,white,60.84,2.34,5.772,14.04,0.2574,257.4,1216.8,7.7298,25.662,4.056,99.84,46.8,0.09
7.6,0.22,0.34,9.7,0.035,26,143,0.9965,3.08,0.49,9.8,6,white,57.76,1.672,2.584,73.72,0.266,197.6,1086.8,7.5734,23.408,3.724,74.48,45.6,0.0484
7.5,0.33,0.36,2.6,0.051,26,126,0.99097,3.32,0.53,12.7,6,white,56.25,2.475,2.7,19.5,0.3825,195,945,7.432275,24.9,3.975,95.25,45,0.1089
7.2,0.24,0.29,3,0.036,17,117,0.99411,3.36,0.68,10.1,6,white,51.84,1.728,2.088,21.6,0.2592,122.4,842.4,7.157592,24.192,4.896,72.72,43.2,0.0576
5.9,0.26,0.27,18.2,0.048,52,168,0.9993,3.35,0.44,9.4,5,white,34.81,1.534,1.593,107.38,0.2832,306.8,991.2,5.89587,19.765,2.596,55.46,29.5,0.0676
6.1,0.4,0.18,9,0.051,28.5,259,0.9964,3.19,0.5,8.8,5,white,37.21,2.44,1.098,54.9,0.3111,173.85,1579.9,6.07804,19.459,3.05,53.68,30.5,0.16
7.5,0.52,0.11,1.5,0.079,11,39,0.9968,3.42,0.58,9.6,5,red,56.25,3.9,0.825,11.25,0.5925,82.5,292.5,7.476,25.65,4.35,72,37.5,0.2704
6,0.1,0.24,1.1,0.041,15,65,0.9927,3.61,0.61,10.3,7,white,36,0.6,1.44,6.6,0.246,90,390,5.9562,21.66,3.66,61.8,42,0.01
7.2,0.115,0.3,6.8,0.056,26,105,0.9954,3.44,0.4,9.6,6,white,51.84,0.828,2.16,48.96,0.4032,187.2,756,7.16688,24.768,2.88,69.12,43.2,0.013225
6.4,0.14,0.28,7.9,0.057,21,82,0.99425,3.26,0.36,10,6,white,40.96,0.896,1.792,50.56,0.3648,134.4,524.8,6.3632,20.864,2.304,64,38.4,0.0196
8.9,0.21,0.37,1.2,0.028,20,93,0.99244,3.2,0.37,11.5,5,white,79.21,1.869,3.293,10.68,0.2492,178,827.7,8.832716,28.48,3.293,102.35,44.5,0.0441
6.8,0.41,0.3,8.8,0.045,28,131,0.9953,3.12,0.59,9.9,5,white,46.24,2.788,2.04,59.84,0.306,190.4,890.8,6.76804,21.216,4.012,67.32,34,0.1681
6.4,0.35,0.28,1.1,0.055,9,160,0.99405,3.42,0.5,9.1,7,white,40.96,2.24,1.792,7.04,0.352,57.6,1024,6.36192,21.888,3.2,58.24,44.8,0.1225
5.8,0.32,0.23,1.5,0.033,39,121,0.9887,2.96,0.35,12,5,white,33.64,1.856,1.334,8.7,0.1914,226.2,701.8,5.73446,17.168,2.03,69.6,29,0.1024
7.1,0.43,0.17,1.8,0.082,27,51,0.99634,3.49,0.64,10.4,5,red,50.41,3.053,1.207,12.78,0.5822,191.7,362.1,7.074014,24.779,4.544,73.84,35.5,0.1849
8.4,0.56,0.08,2.1,0.105,16,44,0.9958,3.13,0.52,11,5,red,70.56,4.704,0.672,17.64,0.882,134.4,369.6,8.36472,26.292,4.368,92.4,42,0.3136
7.4,0.28,0.36,14.6,0.048,35,161,0.9968,3.14,0.56,10.6,5,white,54.76,2.072,2.664,108.04,0.3552,259,1191.4,7.37632,23.236,4.144,78.44,37,0.0784
7.3,0.32,0.48,13.3,0.06,57,196,0.9982,3.04,0.5,9.2,5,white,53.29,2.336,3.504,97.09,0.438,416.1,1430.8,7.28686,22.192,3.65,67.16,36.5,0.1024
6.8,0.28,0.39,1.4,0.036,15,115,0.9918,3.27,0.72,11.7,5,white,46.24,1.904,2.652,9.52,0.2448,102,782,6.74424,22.236,4.896,79.56,34,0.0784
6.4,0.17,0.27,1.5,0.037,20,98,0.9916,3.46,0.42,11,7,white,40.96,1.088,1.728,9.6,0.2368,128,627.2,6.34624,22.144,2.688,70.4,44.8,0.0289
5.6,0.225,0.24,9.8,0.054,59,140,0.99545,3.17,0.39,10.2,6,white,31.36,1.26,1.344,54.88,0.3024,330.4,784,5.57452,17.752,2.184,57.12,33.6,0.050625
6.7,0.86,0.07,2,0.1,20,57,0.99598,3.6,0.74,11.7,6,red,44.89,5.762,0.469,13.4,0.67,134,381.9,6.673066,24.12,4.958,78.39,40.2,0.7396
4.7,0.145,0.29,1,0.042,35,90,0.9908,3.76,0.49,11.3,6,white,22.09,0.6815,1.363,4.7,0.1974,164.5,423,4.65676,17.672,2.303,53.11,28.2,0.021025
7.7,0.34,0.3,8,0.048,25,192,0.9951,2.97,0.47,10.9,5,white,59.29,2.618,2.31,61.6,0.3696,192.5,1478.4,7.66227,22.869,3.619,83.93,38.5,0.1156
7.5,0.26,0.38,5.7,0.021,23,125,0.99338,3.13,0.62,11.1,6,white,56.25,1.95,2.85,42.75,0.1575,172.5,937.5,7.45035,23.475,4.65,83.25,45,0.0676
5.8,0.26,0.29,1,0.042,35,101,0.99044,3.36,0.48,11.4,7,white,33.64,1.508,1.682,5.8,0.2436,203,585.8,5.744552,19.488,2.784,66.12,40.6,0.0676
9.9,0.32,0.56,2,0.073,3,8,0.99534,3.15,0.73,11.4,6,red,98.01,3.168,5.544,19.8,0.7227,29.7,79.2,9.853866,31.185,7.227,112.86,59.4,0.1024
6.6,0.22,0.28,4.9,0.042,51,180,0.9952,3.3,0.75,9.5,6,white,43.56,1.452,1.848,32.34,0.2772,336.6,1188,6.56832,21.78,4.95,62.7,39.6,0.0484
6.3,0.19,0.21,1.8,0.049,35,163,0.9924,3.31,0.5,10.3,6,white,39.69,1.197,1.323,11.34,0.3087,220.5,1026.9,6.25212,20.853,3.15,64.89,37.8,0.0361
5.4,0.59,0.07,7,0.045,36,147,0.9944,3.34,0.57,9.7,6,white,29.16,3.186,0.378,37.8,0.243,194.4,793.8,5.36976,18.036,3.078,52.38,32.4,0.3481
7.1,0.13,0.38,1.8,0.046,14,114,0.9925,3.32,0.9,11.7,6,white,50.41,0.923,2.698,12.78,0.3266,99.4,809.4,7.04675,23.572,6.39,83.07,42.6,0.0169
8,0.45,0.36,8.8,0.026,50,151,0.9927,3.07,0.25,12.7,8,white,64,3.6,2.88,70.4,0.208,400,1208,7.9416,24.56,2,101.6,64,0.2025
7.8,0.28,0.34,1.6,0.028,32,118,0.9901,3,0.38,12.1,7,white,60.84,2.184,2.652,12.48,0.2184,249.6,920.4,7.72278,23.4,2.964,94.38,54.6,0.0784
6.6,0.38,0.18,1.2,0.042,20,84,0.9927,3.22,0.45,10.1,4,white,43.56,2.508,1.188,7.92,0.2772,132,554.4,6.55182,21.252,2.97,66.66,26.4,0.1444
7,0.23,0.33,1,0.043,46,110,0.99118,3.04,0.65,10.8,6,white,49,1.61,2.31,7,0.301,322,770,6.93826,21.28,4.55,75.6,42,0.0529
8.3,0.21,0.49,19.8,0.054,50,231,1.0012,2.99,0.54,9.2,5,white,68.89,1.743,4.067,164.34,0.4482,415,1917.3,8.30996,24.817,4.482,76.36,41.5,0.0441
5.4,0.22,0.35,6.5,0.029,26,87,0.99092,3.29,0.44,12.5,7,white,29.16,1.188,1.89,35.1,0.1566,140.4,469.8,5.350968,17.766,2.376,67.5,37.8,0.0484
10.9,0.39,0.47,1.8,0.118,6,14,0.9982,3.3,0.75,9.8,6,red,118.81,4.251,5.123,19.62,1.2862,65.4,152.6,10.88038,35.97,8.175,106.82,65.4,0.1521
6.1,0.44,0.28,4.25,0.032,43,132,0.9916,3.26,0.47,11.26666667,7,white,37.21,2.684,1.708,25.925,0.1952,262.3,805.2,6.04876,19.886,2.867,68.72666667,42.7,0.1936
6.9,0.19,0.31,19.25,0.043,38,167,0.99954,2.93,0.52,9.1,7,white,47.61,1.311,2.139,132.825,0.2967,262.2,1152.3,6.896826,20.217,3.588,62.79,48.3,0.0361
6.9,0.3,0.29,1.3,0.053,24,189,0.99362,3.29,0.54,9.9,4,white,47.61,2.07,2.001,8.97,0.3657,165.6,1304.1,6.855978,22.701,3.726,68.31,27.6,0.09
7.8,0.49,0.49,7,0.043,29,149,0.9952,3.21,0.33,10,5,white,60.84,3.822,3.822,54.6,0.3354,226.2,1162.2,7.76256,25.038,2.574,78,39,0.2401
6.9,0.19,0.49,6.6,0.036,49,172,0.9932,3.2,0.27,11.5,6,white,47.61,1.311,3.381,45.54,0.2484,338.1,1186.8,6.85308,22.08,1.863,79.35,41.4,0.0361
6.3,0.29,0.14,7.05,0.045,50,177,0.99564,3.23,0.42,9,5,white,39.69,1.827,0.882,44.415,0.2835,315,1115.1,6.272532,20.349,2.646,56.7,31.5,0.0841
8.4,0.665,0.61,2,0.112,13,95,0.997,3.16,0.54,9.1,5,red,70.56,5.586,5.124,16.8,0.9408,109.2,798,8.3748,26.544,4.536,76.44,42,0.442225
8.1,0.66,0.22,2.2,0.069,9,23,0.9968,3.3,1.2,10.3,5,red,65.61,5.346,1.782,17.82,0.5589,72.9,186.3,8.07408,26.73,9.72,83.43,40.5,0.4356
6.9,0.54,0.32,13.2,0.05,53,236,0.9973,3.2,0.5,9.6,5,white,47.61,3.726,2.208,91.08,0.345,365.7,1628.4,6.88137,22.08,3.45,66.24,34.5,0.2916
6.5,0.3,0.29,2.25,0.037,8,210,0.9937,3.19,0.62,9.9,5,white,42.25,1.95,1.885,14.625,0.2405,52,1365,6.45905,20.735,4.03,64.35,32.5,0.09
8,0.45,0.28,10.8,0.051,25,157,0.9957,3.06,0.47,11.4,7,white,64,3.6,2.24,86.4,0.408,200,1256,7.9656,24.48,3.76,91.2,56,0.2025
8,0.34,0.25,6.4,0.035,38,103,0.99148,2.91,0.23,12.2,6,white,64,2.72,2,51.2,0.28,304,824,7.93184,23.28,1.84,97.6,48,0.1156
7.6,0.67,0.14,1.5,0.074,25,168,0.9937,3.05,0.51,9.3,5,white,57.76,5.092,1.064,11.4,0.5624,190,1276.8,7.55212,23.18,3.876,70.68,38,0.4489
6.2,0.3,0.2,6.6,0.045,42,170,0.9944,3.36,0.45,10.4,6,white,38.44,1.86,1.24,40.92,0.279,260.4,1054,6.16528,20.832,2.79,64.48,37.2,0.09
6.4,0.17,0.32,2.4,0.048,41,200,0.9938,3.5,0.5,9.7,6,white,40.96,1.088,2.048,15.36,0.3072,262.4,1280,6.36032,22.4,3.2,62.08,38.4,0.0289
7.1,0.22,0.32,16.9,0.056,49,158,0.9998,3.37,0.38,9.6,6,white,50.41,1.562,2.272,119.99,0.3976,347.9,1121.8,7.09858,23.927,2.698,68.16,42.6,0.0484
6.2,0.2,0.25,15,0.055,8,120,0.99767,3.19,0.53,9.6,6,white,38.44,1.24,1.55,93,0.341,49.6,744,6.185554,19.778,3.286,59.52,37.2,0.04
6.2,0.22,0.49,6,0.029,31,128,0.9928,3.41,0.36,11.3,8,white,38.44,1.364,3.038,37.2,0.1798,192.2,793.6,6.15536,21.142,2.232,70.06,49.6,0.0484
6.8,0.3,0.35,2.8,0.038,10,164,0.9912,3.09,0.53,12,6,white,46.24,2.04,2.38,19.04,0.2584,68,1115.2,6.74016,21.012,3.604,81.6,40.8,0.09
5.9,0.415,0.13,1.4,0.04,11,64,0.9922,3.29,0.52,10.5,5,white,34.81,2.4485,0.767,8.26,0.236,64.9,377.6,5.85398,19.411,3.068,61.95,29.5,0.172225
7.2,0.31,0.5,13.3,0.056,68,195,0.9982,3.01,0.47,9.2,5,white,51.84,2.232,3.6,95.76,0.4032,489.6,1404,7.18704,21.672,3.384,66.24,36,0.0961
7.9,0.33,0.28,31.6,0.053,35,176,1.0103,3.15,0.38,8.8,6,white,62.41,2.607,2.212,249.64,0.4187,276.5,1390.4,7.98137,24.885,3.002,69.52,47.4,0.1089
6.7,0.31,0.18,7.7,0.043,57,200,0.99566,3.17,0.44,9.4,6,white,44.89,2.077,1.206,51.59,0.2881,381.9,1340,6.670922,21.239,2.948,62.98,40.2,0.0961
5.7,0.28,0.28,2.2,0.019,15,65,0.9902,3.06,0.52,11.2,6,white,32.49,1.596,1.596,12.54,0.1083,85.5,370.5,5.64414,17.442,2.964,63.84,34.2,0.0784
6.6,0.15,0.32,6,0.033,59,128,0.99192,3.19,0.71,12.1,8,white,43.56,0.99,2.112,39.6,0.2178,389.4,844.8,6.546672,21.054,4.686,79.86,52.8,0.0225
7.5,0.24,0.62,10.6,0.045,51,153,0.99779,3.16,0.44,8.8,5,white,56.25,1.8,4.65,79.5,0.3375,382.5,1147.5,7.483425,23.7,3.3,66,37.5,0.0576
8.3,0.49,0.23,6.65,0.034,6,158,0.99344,3.05,0.48,11.2,5,white,68.89,4.067,1.909,55.195,0.2822,49.8,1311.4,8.245552,25.315,3.984,92.96,41.5,0.2401
8,0.36,0.43,10.1,0.053,29,146,0.9982,3.4,0.46,9.5,6,white,64,2.88,3.44,80.8,0.424,232,1168,7.9856,27.2,3.68,76,48,0.1296
